class,area,year,id,
'Formação Savânica',539.9409175,2003,1,
'Mangue',19905.27023,2003,1,
'Restinga Arbórea',133560.487,2003,1,
'Campo Alagado e Área Pantanosa',154374.9245,2003,1,
'Formação Campestre',35650.58239,2003,1,
'Apicum',373.9034476,2003,1,
'Afloramento Rochoso',9364.254356,2003,1,
'Restinga Herbácea',3703.711732,2003,1,
'Pastagem',4449725.441,2003,1,
'Soja',3612870.377,2003,1,
'Cana',171629.0275,2003,1,
'Arroz',2334.232724,2003,1,
'Algodão (beta)',0,2003,1,
'Outras Lavouras Temporárias',2026540.021,2003,1,
'Café',52766.74935,2003,1,
'Outras Lavouras Perenes',2326.423923,2003,1,
'Silvicultura',625199.241,2003,1,
'Mosaico de Usos',3119644.002,2003,1,
'Praia  Duna e Areal',456.3260369,2003,1,
'Área Urbanizada',213193.357,2003,1,
'Mineração',2691.217125,2003,1,
'Outras Áreas não Vegetadas',5520.570159,2003,1,
'Rio Lago e Oceano',386555.9483,2003,1,
'Aquicultura',0,2003,1,
'Formação Florestal',4916682.216,2004,1,
'Formação Savânica',517.676218,2004,1,
'Mangue',20134.09147,2004,1,
'Restinga Arbórea',133128.7744,2004,1,
'Campo Alagado e Área Pantanosa',155613.548,2004,1,
'Formação Campestre',35412.3598,2004,1,
'Apicum',460.3774782,2004,1,
'Afloramento Rochoso',9366.230787,2004,1,
'Restinga Herbácea',3641.004224,2004,1,
'Pastagem',4319857.718,2004,1,
'Soja',3742120.936,2004,1,
'Cana',205223.3267,2004,1,
'Arroz',2391.314785,2004,1,
'Algodão (beta)',0,2004,1,
'Outras Lavouras Temporárias',1820094.666,2004,1,
'Café',57505.61566,2004,1,
'Outras Lavouras Perenes',2826.601394,2004,1,
'Silvicultura',638113.8979,2004,1,
'Mosaico de Usos',3253292.624,2004,1,
'Praia  Duna e Areal',421.1017915,2004,1,
'Área Urbanizada',216821.5132,2004,1,
'Mineração',2787.687696,2004,1,
'Outras Áreas não Vegetadas',6810.303458,2004,1,
'Rio Lago e Oceano',384712.8805,2004,1,
'Aquicultura',0,2004,1,
'Formação Florestal',4932925.629,2005,1,
'Formação Savânica',505.5206277,2005,1,
'Mangue',20004.98819,2005,1,
'Restinga Arbórea',135361.8582,2005,1,
'Campo Alagado e Área Pantanosa',155420.6083,2005,1,
'Formação Campestre',35300.54702,2005,1,
'Apicum',479.148345,2005,1,
'Afloramento Rochoso',9364.673669,2005,1,
'Restinga Herbácea',3609.122801,2005,1,
'Pastagem',4172124.737,2005,1,
'Soja',4216436.133,2005,1,
'Cana',254032.3262,2005,1,
'Arroz',368.3306823,2005,1,
'Algodão (beta)',0,2005,1,
'Outras Lavouras Temporárias',1385744.198,2005,1,
'Café',57674.79915,2005,1,
'Outras Lavouras Perenes',3053.037977,2005,1,
'Silvicultura',653297.4766,2005,1,
'Mosaico de Usos',3274642.994,2005,1,
'Praia  Duna e Areal',385.9544837,2005,1,
'Área Urbanizada',220691.6481,2005,1,
'Mineração',2857.748813,2005,1,
'Outras Áreas não Vegetadas',7144.799611,2005,1,
'Rio Lago e Oceano',386482.0535,2005,1,
'Aquicultura',0,2005,1,
'Formação Florestal',4949340.616,2006,1,
'Formação Savânica',449.7459507,2006,1,
'Mangue',19757.08788,2006,1,
'Restinga Arbórea',135913.3652,2006,1,
'Campo Alagado e Área Pantanosa',155413.7728,2006,1,
'Formação Campestre',35188.97994,2006,1,
'Apicum',466.3438213,2006,1,
'Afloramento Rochoso',9368.551829,2006,1,
'Restinga Herbácea',3635.545567,2006,1,
'Pastagem',4039155.949,2006,1,
'Soja',4185008.153,2006,1,
'Cana',288438.735,2006,1,
'Arroz',364.6720029,2006,1,
'Algodão (beta)',0,2006,1,
'Outras Lavouras Temporárias',1595520.8,2006,1,
'Café',57125.55442,2006,1,
'Outras Lavouras Perenes',3652.492546,2006,1,
'Silvicultura',669715.1563,2006,1,
'Mosaico de Usos',3160449.049,2006,1,
'Praia  Duna e Areal',386.8305519,2006,1,
'Área Urbanizada',224395.3055,2006,1,
'Mineração',2927.189993,2006,1,
'Outras Áreas não Vegetadas',7101.949595,2006,1,
'Rio Lago e Oceano',384154.3006,2006,1,
'Aquicultura',0,2006,1,
'Formação Florestal',4963113.414,2007,1,
'Formação Savânica',443.460637,2007,1,
'Mangue',19430.69784,2007,1,
'Restinga Arbórea',135838.9171,2007,1,
'Campo Alagado e Área Pantanosa',154244.2424,2007,1,
'Formação Campestre',34841.94798,2007,1,
'Apicum',440.759705,2007,1,
'Afloramento Rochoso',9368.817899,2007,1,
