mun;grupos;num;area;n_af_nao;n_af_sim;area_af_nao;area_af_sim;usa_agrotoxico;nao_usa_agrotoxico;naf_usa_agrotoxico;naf_nao_usa_agrotoxico;af_usa_agrotoxico;af_nao_usa_agrotoxico;naf_organico;naf_n_organico;af_organico;af_n_organico;;
Ampére;De 1 a menos de 2 ha;42;55;15;27;20;35;17;25;7;8;10;17;2;5;4;11;;
Ampére;De 2 a menos de 3 ha;43;104;17;26;41;63;23;20;9;8;14;12;1;7;1;11;;
Ampére;De 3 a menos de 4 ha;76;262;21;55;74;189;47;29;16;5;31;24;0;4;1;17;;
Ampére;De 4 a menos de 5 ha;112;534;24;88;113;421;73;39;16;8;57;31;1;5;1;23;;
Ampére;De 5 a menos de 10 ha;263;2011;40;223;306;1705;179;84;26;14;153;70;1;13;7;53;;
Ampére;De 10 a menos de 20 ha;310;4318;34;276;449;3869;245;65;29;5;216;60;1;4;3;45;;
Ampére;De 20 a menos de 50 ha;200;6045;22;178;695;5350;179;21;14;8;165;13;2;4;2;9;;
Ampére;De 50 a menos de 100 ha;47;3469;23;24;1936;1533;40;7;19;4;21;3;1;3;0;2;;
Ampére;De 100 a menos de 200 ha;23;3099;23;0;3099;0;22;1;22;1;0;0;0;1;0;0;;
Ampére;De 200 a menos de 500 ha;14;3976;14;0;3976;0;10;4;10;4;0;0;0;4;0;0;;
Ampére;De 500 a menos de 1.000 ha;3;0;3;0;0;0;1;2;1;2;0;0;0;2;0;0;;
Ampére;De 1.000 a menos de 2.500 ha;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;;
Ampére;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Ampére;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Ampére;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Anahy;Mais de 0 a menos de 0,1 ha;2;0;2;0;0;0;1;1;1;1;0;0;0;1;0;0;;
